"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"61",61,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Chance to pursue a specific research question","No",NA,"1st","Very satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","1 = Not at all satisfied","31-40 hours","Strongly disagree","Strongly agree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","No",NA,NA,"Yes","Racial discrimination or harassment"
"62",62,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Very satisfied","Improved slightly","Meets original expectations","3","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"63",63,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","North or Central America","To study at a specific university","No",NA,"1st","Very satisfied","Improved slightly","Meets original expectations","6","Between one and three hours","5","31-40 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"64",64,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,NA,"Somewhat satisfied","Improved greatly","Does not meet original expectations","7 = Extremely satisfied","More than three hours","1 = Not at all satisfied","More than 80 hours","Strongly disagree","Strongly agree","Yes","No, I sought help elsewhere","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"65",65,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very dissatisfied","Improved greatly","Meets original expectations","6","Less than an hour","5","71-80 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"Prefer not to say",NA
"66",66,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"1st","Somewhat satisfied","Worsened a little","Meets original expectations","5","Less than an hour","1 = Not at all satisfied","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"Prefer not to say",NA
"67",67,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","South America",NA,"No",NA,"1st","Very satisfied","Improved slightly","Exceeds original expectations","6","Between one and three hours","2","51-60 hours","Somewhat agree","Somewhat agree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"68",68,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Asia (including Middle East)","Lack of quality PhD programmes in my home country","No",NA,"1st","Somewhat satisfied","Worsened a little","Does not meet original expectations","6","Between one and three hours","2","51-60 hours","Strongly disagree","Strongly agree","Yes","Yes, but I didn’t feel supported","Somewhat disagree","Prefer not to say","Strongly disagree","Strongly disagree","Yes","Another student","Unsure","Yes",NA
"69",69,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat satisfied","Significantly worsened","Does not meet original expectations","7 = Extremely satisfied","Less than an hour","6","41-50 hours","Somewhat disagree","Strongly agree","Prefer not to say",NA,"Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","No",NA,NA,"Yes",NA
"70",70,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Asia (including Middle East)","Chance to pursue a specific research question","No",NA,"5th","Very satisfied","Improved slightly","Meets original expectations","3","Less than an hour","2","51-60 hours","Strongly disagree","Strongly agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"71",71,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","More than three hours","4 = Neither satisfied nor dissatisfied","More than 80 hours","Strongly disagree","Strongly disagree","No",NA,"Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Yes","Another student","No","No",NA
"72",72,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat satisfied","Stayed the same","Does not meet original expectations","5","Less than an hour","2","51-60 hours","Neither agree nor disagree","Strongly disagree","Yes","No, I sought help elsewhere","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"73",73,"Prefer not to say","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Chance to pursue a specific research question","Yes","To help make ends meet",NA,"Very satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","7 = Extremely satisfied","41-50 hours","Strongly agree","Strongly disagree","No",NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"74",74,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Neither satisfied nor dissatisfied","Significantly worsened","Meets original expectations","4 = Neither satisfied nor dissatisfied","More than three hours","3","11-20 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Prefer not to say","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"75",75,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","3","Between one and three hours","1 = Not at all satisfied","71-80 hours","Somewhat disagree","Strongly agree","No",NA,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Yes","Supervisor","Unsure","No",NA
"76",76,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Africa",NA,"Yes","To make myself more attractive to future employers","2nd","Very dissatisfied","Improved greatly","Meets original expectations","N/A","More than three hours","6","21-30 hours","Somewhat disagree","Neither agree nor disagree","No",NA,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Yes","Supervisor","No","No",NA
"77",77,"25 - 34","Prefer not to say","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"2nd","Very satisfied","Stayed the same","Meets original expectations","4 = Neither satisfied nor dissatisfied","Other, please specify","N/A","51-60 hours","Prefer not to say","Somewhat agree","Prefer not to say",NA,"Prefer not to say","Prefer not to say","Prefer not to say","Prefer not to say","No",NA,NA,"No",NA
"78",78,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"3rd","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Less than an hour","7 = Extremely satisfied","31-40 hours","Strongly agree","Strongly disagree","No",NA,"Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"79",79,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Asia (including Middle East)","Other, please specify","No",NA,"2nd","Very satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Between one and three hours","2","More than 80 hours","Strongly disagree","Neither agree nor disagree","No",NA,"Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"80",80,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Lack of funding opportunities in my home country","No",NA,"5th","Somewhat satisfied","Stayed the same","Meets original expectations","5","Between one and three hours","3","31-40 hours","Somewhat agree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"81",81,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"2nd","Somewhat satisfied","Significantly worsened","Does not meet original expectations","5","Between one and three hours","3","41-50 hours","Somewhat agree","Strongly disagree","Yes","Yes, it was helpful","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Yes","Supervisor","Unsure","No",NA
"82",82,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat satisfied","Worsened a little","Does not meet original expectations","6","Between one and three hours","5","51-60 hours","Strongly agree","Strongly disagree","Prefer not to say",NA,"Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"83",83,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Australasia","Lack of funding opportunities in my home country","No",NA,"1st","Somewhat satisfied","Improved greatly","Meets original expectations","6","Between one and three hours","5","51-60 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"84",84,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very satisfied","Significantly worsened","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","3","Less than 11 hours","Neither agree nor disagree","Somewhat disagree","Yes","No, I sought help elsewhere","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"85",85,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","6","41-50 hours","Somewhat disagree","Somewhat disagree","Prefer not to say",NA,"Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","No",NA,NA,"No",NA
"86",86,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"Yes","To help make ends meet","1st","Somewhat satisfied","Stayed the same","Does not meet original expectations","5","Less than an hour","6","71-80 hours","Somewhat disagree","Somewhat agree","No",NA,"Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"87",87,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","More than three hours","7 = Extremely satisfied","61-70 hours","Strongly agree","Somewhat agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
