age,gender,degree,studying_in_your_home_country,current_living_location,reasons_to_study_outside_your_country_of_upbringing,job_alongside_studies,main_reason_job,reasons_for_having_a_job,level_of_satisfaction_with_decision_to_pursue_a_PhD,level_of_satisfaction_since_starting_grad_school,how_does_your_program_compare_to_your_expectations,supervisor_relationship,one_on_one_contact_w_supervisor,work_life_balance,PhD_weekly_hours,university_supports_work_life_balance,university_has_long_hours_culture,have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD,did_you_seek_help_within_your_institution,mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs,supervisor_awareness_of_mental_health_services,university_offers_adequate_one_to_one_mental_health_support,university_offers_a_variety_of_support_resources,experienced_bullying_in_PhD,who_was_the_perpetrator,able_to_speak_out_about_bullying_experiences,experienced_discrimination_or_harrasment,which_have_you_experienced
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Australasia,Chance to pursue a specific research question,No,NA,2nd,4,Significantly worsened,Meets original expectations,3,Less than an hour,4,41-50 hours,3,3,Yes,Prefer not to say,3,3,3,3,Yes,Supervisor,No,Yes,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,5th,4,Worsened a little,Does not meet original expectations,5,Less than an hour,5,41-50 hours,4,2,No,NA,3,4,3,4,No,NA,NA,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,To study at a specific university,No,NA,2nd,4,Stayed the same,Meets original expectations,3,Less than an hour,4,41-50 hours,4,3,No,NA,4,3,5,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,7th,5,Improved greatly,Exceeds original expectations,7,Between one and three hours,5,41-50 hours,2,4,Yes,"No, I sought help elsewhere",3,3,3,3,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,To study at a specific university,No,NA,3rd,4,Worsened a little,Does not meet original expectations,6,Less than an hour,5,31-40 hours,5,2,Yes,"No, I sought help elsewhere",5,5,5,5,Yes,Postdoc,Yes,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of PhD programmes in my subject of choice,No,NA,1st,2,Significantly worsened,Does not meet original expectations,2,Less than an hour,5,61-70 hours,3,3,No,NA,3,3,3,3,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,To experience another culture,No,NA,1st,5,Improved greatly,Meets original expectations,5,Less than an hour,5,51-60 hours,4,2,No,NA,4,3,4,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,Yes,"Other, please specify",4th,4,Stayed the same,Meets original expectations,5,Between one and three hours,2,31-40 hours,3,4,No,NA,3,3,3,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,Political reasons,No,NA,9th,4,Worsened a little,Meets original expectations,2,Less than an hour,1,71-80 hours,1,5,Prefer not to say,NA,3,2,3,3,No,NA,NA,No,NA
18 - 24,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,1st,5,Improved greatly,Meets original expectations,5,Less than an hour,5,31-40 hours,4,2,No,NA,2,3,2,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,Yes,To help make ends meet,NA,4,Worsened a little,Meets original expectations,5,"Other, please specify",2,21-30 hours,2,4,Yes,"No, I sought help elsewhere",1,1,2,1,No,NA,NA,No,NA
18 - 24,Male (including trans male),"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",No,Europe,To study at a specific university,Yes,To develop additional skills,4th,3,Significantly worsened,Does not meet original expectations,5,Between one and three hours,1,51-60 hours,1,5,Yes,"No, I sought help elsewhere",1,2,4,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of funding opportunities in my home country,No,NA,3rd,4,Worsened a little,Does not meet original expectations,5,Between one and three hours,2,71-80 hours,1,5,No,NA,1,3,2,2,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,Chance to pursue a specific research question,No,NA,2nd,5,Stayed the same,Exceeds original expectations,7,Between one and three hours,2,51-60 hours,4,3,No,NA,3,4,4,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Africa,Lack of funding opportunities in my home country,Yes,To develop additional skills,4th,5,Improved slightly,Does not meet original expectations,7,Between one and three hours,4,51-60 hours,4,4,No,NA,5,5,5,5,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of quality PhD programmes in my home country,No,NA,2nd,2,Significantly worsened,Does not meet original expectations,1,Less than an hour,1,41-50 hours,3,2,Yes,"No, I sought help elsewhere",4,1,5,3,Yes,Supervisor,No,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,2nd,5,Worsened a little,Meets original expectations,7,Between one and three hours,4,51-60 hours,2,2,No,NA,2,1,1,1,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Asia (including Middle East),Lack of quality PhD programmes in my home country,No,NA,2nd,3,Improved slightly,Meets original expectations,6,Less than an hour,3,31-40 hours,4,3,No,NA,3,2,2,2,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,2nd,4,Worsened a little,Meets original expectations,6,More than three hours,5,51-60 hours,1,4,Yes,"Other, please specify",1,3,1,1,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of funding opportunities in my home country,No,NA,2nd,5,Improved slightly,Meets original expectations,6,Between one and three hours,4,61-70 hours,3,2,No,NA,2,2,3,3,No,NA,NA,No,NA
35 - 44,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,1st,2,Significantly worsened,Does not meet original expectations,2,Less than an hour,4,51-60 hours,3,2,Yes,"Yes, it was helpful",1,1,2,2,Yes,Another student,No,Yes,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of PhD programmes in my subject of choice,No,NA,2nd,4,Significantly worsened,Does not meet original expectations,1,"Other, please specify",2,51-60 hours,2,5,Yes,"No, I sought help elsewhere",1,1,3,3,Yes,Another student,Unsure,Yes,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of quality PhD programmes in my home country,No,NA,1st,5,Stayed the same,Meets original expectations,7,Between one and three hours,3,51-60 hours,4,2,No,NA,3,3,3,3,No,NA,NA,No,NA
35 - 44,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,North or Central America,Lack of funding opportunities in my home country,No,NA,NA,1,Significantly worsened,Does not meet original expectations,1,"Other, please specify",5,71-80 hours,2,3,Yes,"Other, please specify",2,1,2,2,Yes,Supervisor,No,Yes,Racial discrimination or harassment
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,South America,NA,Yes,To develop additional skills,6th,5,Improved slightly,Exceeds original expectations,6,Less than an hour,3,51-60 hours,2,2,No,NA,Prefer not to say,Prefer not to say,Prefer not to say,2,Yes,Another student,Unsure,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of funding opportunities in my home country,No,NA,3rd,3,Significantly worsened,Does not meet original expectations,4,Less than an hour,3,51-60 hours,3,3,Yes,"No, I sought help elsewhere",1,1,4,4,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,North or Central America,Lack of quality PhD programmes in my home country,No,NA,4th,5,Improved greatly,Does not meet original expectations,2,Less than an hour,3,51-60 hours,3,2,Yes,"Yes, it was helpful",4,2,4,4,No,NA,NA,Yes,Racial discrimination or harassment
18 - 24,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,Yes,To develop additional skills,3rd,5,Worsened a little,Meets original expectations,6,More than three hours,3,51-60 hours,4,4,No,NA,1,1,1,1,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,4th,5,Improved slightly,Meets original expectations,5,Between one and three hours,5,21-30 hours,4,4,Yes,"Yes, but I didn’t feel supported",3,Prefer not to say,4,Prefer not to say,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,North or Central America,Lack of PhD programmes in my subject of choice,No,NA,2nd,5,Improved slightly,Meets original expectations,7,Between one and three hours,6,41-50 hours,5,1,No,NA,3,4,5,5,No,NA,NA,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,NA,5,Stayed the same,Meets original expectations,6,Less than an hour,5,51-60 hours,4,3,Yes,"Yes, it was helpful",2,2,5,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,Yes,To develop additional skills,1st,5,Improved slightly,Does not meet original expectations,2,Less than an hour,2,31-40 hours,3,3,Yes,"Yes, it was helpful",3,3,3,3,Prefer not to say,NA,NA,No,NA
35 - 44,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,3rd,5,Improved greatly,Meets original expectations,7,More than three hours,4,More than 80 hours,5,5,No,NA,5,5,3,5,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,3rd,4,Worsened a little,Does not meet original expectations,5,Between one and three hours,3,71-80 hours,2,2,Yes,"No, I sought help elsewhere",1,2,2,4,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,1st,5,Significantly worsened,Does not meet original expectations,2,Less than an hour,4,Less than 11 hours,2,4,Yes,"I wanted to, but there was none available",2,2,2,2,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,1st,4,Worsened a little,Does not meet original expectations,6,Less than an hour,1,More than 80 hours,2,4,No,NA,2,3,2,2,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Asia (including Middle East),Lack of quality PhD programmes in my home country,No,NA,2nd,1,Improved greatly,Meets original expectations,7,Less than an hour,1,61-70 hours,4,4,No,NA,3,4,3,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,4th,5,Worsened a little,Does not meet original expectations,6,Less than an hour,6,Less than 11 hours,3,2,No,NA,4,4,3,3,Prefer not to say,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Australasia,Lack of quality PhD programmes in my home country,Yes,To develop additional skills,1st,4,Worsened a little,Meets original expectations,N/A,Between one and three hours,5,61-70 hours,3,1,Yes,"No, I sought help elsewhere",3,5,3,2,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,North or Central America,To study at a specific university,No,NA,2nd,5,Worsened a little,Meets original expectations,6,Less than an hour,5,71-80 hours,4,2,Yes,"No, I sought help elsewhere",3,3,4,4,Prefer not to say,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Asia (including Middle East),To study at a specific university,No,NA,2nd,5,Improved greatly,Meets original expectations,4,Less than an hour,4,61-70 hours,Prefer not to say,5,Prefer not to say,NA,3,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,NA,NA,No,NA
18 - 24,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,North or Central America,Chance to pursue a specific research question,No,NA,3rd,4,Worsened a little,Meets original expectations,7,Less than an hour,6,31-40 hours,4,1,No,NA,4,4,5,5,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,Yes,To make myself more attractive to future employers,1st,2,Improved slightly,Does not meet original expectations,5,Between one and three hours,1,21-30 hours,2,4,Yes,Prefer not to say,4,5,5,3,Prefer not to say,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,Yes,To make myself more attractive to future employers,1st,4,Improved greatly,Does not meet original expectations,6,Between one and three hours,3,61-70 hours,2,3,Prefer not to say,NA,Prefer not to say,3,1,Prefer not to say,Prefer not to say,NA,NA,Prefer not to say,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,1st,1,Significantly worsened,Does not meet original expectations,5,Less than an hour,3,61-70 hours,2,5,No,NA,2,1,3,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,NA,5,Significantly worsened,Does not meet original expectations,7,More than three hours,4,61-70 hours,4,4,No,NA,2,5,1,1,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Australasia,Higher salaries post-study,No,NA,5th,4,Worsened a little,Meets original expectations,7,Less than an hour,7,31-40 hours,5,5,Yes,"No, I sought help elsewhere",5,5,5,5,No,NA,NA,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,North or Central America,To study at a specific university,No,NA,5th,4,Stayed the same,Meets original expectations,7,Between one and three hours,7,41-50 hours,4,3,No,NA,4,4,4,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,4th,5,Improved greatly,Exceeds original expectations,4,Less than an hour,1,More than 80 hours,1,5,No,NA,1,1,1,1,Yes,Supervisor,No,Yes,Age discrimination
18 - 24,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,1st,3,Worsened a little,Does not meet original expectations,3,Less than an hour,4,61-70 hours,2,4,No,NA,3,2,2,3,No,NA,NA,No,NA
35 - 44,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,South America,NA,Yes,To help make ends meet,2nd,5,Improved greatly,Meets original expectations,7,Between one and three hours,1,11-20 hours,3,Prefer not to say,Yes,"Other, please specify",2,2,1,3,No,NA,NA,No,NA
18 - 24,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,4th,5,Stayed the same,Does not meet original expectations,7,"Other, please specify",3,41-50 hours,3,5,No,NA,3,3,3,3,No,NA,NA,No,NA
35 - 44,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Africa,NA,Yes,To help make ends meet,3rd,2,Improved slightly,Does not meet original expectations,5,Between one and three hours,3,41-50 hours,2,3,No,NA,2,3,2,2,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,To study at a specific university,No,NA,1st,5,Stayed the same,Does not meet original expectations,1,Between one and three hours,2,61-70 hours,1,4,Yes,I didn’t seek help,4,1,4,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,Yes,"Other, please specify",NA,4,Improved greatly,Does not meet original expectations,6,Less than an hour,5,61-70 hours,3,4,No,NA,5,4,5,5,Yes,Postdoc,Yes,No,NA
25 - 34,Prefer not to say,Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,3rd,5,Worsened a little,Meets original expectations,7,More than three hours,4,41-50 hours,1,4,No,NA,3,3,5,5,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,To study at a specific university,No,NA,5th,5,Improved slightly,Does not meet original expectations,5,Less than an hour,4,41-50 hours,4,2,Yes,"Yes, it was helpful",2,3,4,4,Yes,Other academic staff member,Yes,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,Yes,To develop additional skills,5th,4,Improved greatly,Meets original expectations,5,Less than an hour,N/A,31-40 hours,4,1,No,NA,2,1,1,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Asia (including Middle East),Lack of quality PhD programmes in my home country,No,NA,3rd,4,Improved slightly,Meets original expectations,7,Between one and three hours,5,41-50 hours,5,4,No,NA,4,5,5,5,No,NA,NA,No,NA
25 - 34,Male (including trans male),"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Yes,Europe,NA,No,NA,2nd,4,Improved slightly,Meets original expectations,4,Less than an hour,1,31-40 hours,1,4,Yes,"Yes, it was helpful",5,4,4,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,More job opportunities post-study,No,NA,1st,4,Improved slightly,Meets original expectations,4,Less than an hour,5,71-80 hours,3,3,Yes,"I wanted to, but there was none available",1,2,1,1,Yes,Another student,No,Yes,Racial discrimination or harassment
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,North or Central America,To study at a specific university,No,NA,2nd,5,Improved greatly,Meets original expectations,5,Between one and three hours,4,31-40 hours,4,4,No,NA,4,4,4,3,No,NA,NA,No,NA
25 - 34,Gender queer / Non binary,Doctorate degree (PhD/DPhil/MD),No,Asia (including Middle East),Lack of quality PhD programmes in my home country,Yes,To make myself more attractive to future employers,8th,5,Improved slightly,Exceeds original expectations,7,Between one and three hours,6,31-40 hours,4,5,Prefer not to say,NA,4,5,5,4,Yes,Supervisor,No,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,Yes,To develop additional skills,12th,5,Improved greatly,Meets original expectations,7,More than three hours,4,51-60 hours,4,4,Yes,I didn’t seek help,4,5,4,4,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,Yes,To develop additional skills,3rd,4,Improved slightly,Meets original expectations,7,Between one and three hours,5,51-60 hours,4,4,Yes,"No, I sought help elsewhere",4,5,4,4,Yes,Other academic staff member,Yes,Yes,NA
